date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:12	15875/15875	---M--	200	added ('OK')	image/jpeg	etag:%2229a0418-3e03-5218fa9eda128%22	http://nowpay.github.io/now_pay/themes/default/images/top_news_ban.jpg	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/top_news_ban.jpg	(from http://nowpay.github.io/now_pay/themes/default/css/style.css)
22:22:12	4087/4087	---M--	200	added ('OK')	image/png	etag:%2229a0405-ff7-5218fa8b1783e%22	http://nowpay.github.io/now_pay/themes/default/images/left_ser.png	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/left_ser.png	(from http://nowpay.github.io/now_pay/themes/default/css/style.css)
22:22:12	228/228	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Nov%202015%2014:22:17%20GMT	http://nowpay.github.io/now_pay/themes/default/images/fach.gif	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/fach.gif	(from http://nowpay.github.io/now_pay/themes/default/css/style.css)
22:22:12	3598/3598	---M--	200	added ('OK')	image/png	etag:%2229a0410-e0e-5218fa9a9056c%22	http://nowpay.github.io/now_pay/themes/default/images/pt_item.png	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/pt_item.png	(from http://nowpay.github.io/now_pay/themes/default/css/style.css)
22:22:13	2801/2801	---M--	200	added ('OK')	image/png	etag:%2229a03fe-af1-5218fa83db038%22	http://nowpay.github.io/now_pay/themes/default/images/bm_h.png	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/bm_h.png	(from http://nowpay.github.io/now_pay/themes/default/css/style.css)
22:22:13	2799/2799	---M--	200	added ('OK')	image/png	etag:%2229a0419-aef-5218fa9f541fc%22	http://nowpay.github.io/now_pay/themes/default/images/white.png	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/white.png	(from http://nowpay.github.io/now_pay/themes/default/css/style.css)
22:22:14	1894/1894	---M--	200	added ('OK')	image/gif	etag:%2229a0004-766-523c2be5f9d0e%22	http://nowpay.github.io/now_pay/themes/default/images/weixin.gif	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/weixin.gif	(from http://nowpay.github.io/now_pay/themes/default/css/skin.css)
22:22:14	1794/1794	---M--	200	added ('OK')	image/gif	etag:%2229a0352-702-523c2cb78d926%22	http://nowpay.github.io/now_pay/themes/default/images/tel.gif	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/tel.gif	(from http://nowpay.github.io/now_pay/themes/default/css/skin.css)
22:22:15	5172/5172	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2014:22:19%20GMT	http://nowpay.github.io/now_pay/index.php?r=page/show&name=partners	E:/workspace/website/jifubao/nowpay.github.io/now_pay/index26ec.html	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=about)
22:22:17	24620/24620	---M--	200	added ('OK')	image/jpeg	etag:%2229a002e-602c-521e99db19998%22	http://nowpay.github.io/now_pay/themes/default/images/bannerly1.jpg	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/bannerly1.jpg	(from http://nowpay.github.io/now_pay/themes/default/css/skin.css)
22:22:17	878/878	---M--	200	added ('OK')	text/css	etag:%2229a0720-36e-521f27883eb95%22	http://nowpay.github.io/now_pay/assets/950c9913/pager.css	E:/workspace/website/jifubao/nowpay.github.io/now_pay/assets/950c9913/pager.css	(from http://nowpay.github.io/now_pay/index.php?r=post/index&catalog=news)
22:22:18	12559/12559	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2014:22:22%20GMT	http://nowpay.github.io/now_pay/index.php?r=post/show&id=10	E:/workspace/website/jifubao/nowpay.github.io/now_pay/index99a9.html	(from http://nowpay.github.io/now_pay/index.php?r=post/index&catalog=co-news)
22:22:18	12403/12403	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2014:22:22%20GMT	http://nowpay.github.io/now_pay/index.php?r=post/show&id=9	E:/workspace/website/jifubao/nowpay.github.io/now_pay/index5c98.html	(from http://nowpay.github.io/now_pay/index.php?r=post/index&catalog=co-news)
22:22:19	20362/20362	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2014:22:23%20GMT	http://nowpay.github.io/now_pay/index.php?r=post/show&id=6	E:/workspace/website/jifubao/nowpay.github.io/now_pay/index0b11.html	(from http://nowpay.github.io/now_pay/index.php?r=post/index&catalog=co-news)
22:22:19	10654/10654	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2014:22:23%20GMT	http://nowpay.github.io/now_pay/index.php?r=post/show&id=5	E:/workspace/website/jifubao/nowpay.github.io/now_pay/index8a0a.html	(from http://nowpay.github.io/now_pay/index.php?r=post/index&catalog=co-news)
22:22:20	11698/11698	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2014:22:24%20GMT	http://nowpay.github.io/now_pay/index.php?r=post/show&id=3	E:/workspace/website/jifubao/nowpay.github.io/now_pay/index7594.html	(from http://nowpay.github.io/now_pay/index.php?r=post/index&catalog=co-news)
22:22:20	223964/223964	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Oct%202015%2023:22:35%20GMT	https://img.alicdn.com/imgextra/i4/1710112802/TB20VNygXXXXXXqXpXXXXXXXXXX_!!1710112802.jpg?t=1444692155000	E:/workspace/website/jifubao/img.alicdn.com/imgextra/i4/1710112802/TB20VNygXXXXXXqXpXXXXXXXXXX_!!1710112802c877.jpg	(from http://nowpay.github.io/now_pay/)
22:22:22	6390/6390	---M--	200	added ('OK')	image/png	etag:%2255f1736f-18f6%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_tinyshop.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_tinyshop.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:22	4089/4089	---M--	200	added ('OK')	image/png	etag:%2255f17370-ff9%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_xinyongkahuankuan.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_xinyongkahuankuan.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:22	5033/5033	---M--	200	added ('OK')	image/png	etag:%2255f1736b-13a9%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_bank_card.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_bank_card.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:23	3806/3806	---M--	200	added ('OK')	image/png	etag:%2255f17370-ede%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_train.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_train.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:23	4856/4856	---M--	200	added ('OK')	image/png	etag:%2255f1736b-12f8%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_lottery.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_lottery.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:24	5950/5950	---M--	200	added ('OK')	image/png	etag:%2255f1736f-173e%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_zhifubaochongzhi.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_zhifubaochongzhi.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:24	5729/5729	---M--	200	added ('OK')	image/png	etag:%2255f1736f-1661%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_zhifubaodingdan.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_zhifubaodingdan.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:24	104867/104867	---M--	200	added ('OK')	image/jpeg	etag:%2229a040c-199a3-5218fa9594e5e%22	http://nowpay.github.io/now_pay/themes/default/images/news_ban_about.jpg	E:/workspace/website/jifubao/nowpay.github.io/now_pay/themes/default/images/news_ban_about.jpg	(from http://nowpay.github.io/now_pay/themes/default/css/style.css)
22:22:25	7400/7400	---M--	200	added ('OK')	image/png	etag:%2255f17370-1ce8%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_hongbao.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_hongbao.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:25	4992/4992	---M--	200	added ('OK')	image/png	etag:%2255f1736c-1380%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_zhuanzhang.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_zhuanzhang.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:25	3288/3288	---M--	200	added ('OK')	image/png	etag:%2255f1736b-cd8%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_shoujichongzhi.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_shoujichongzhi.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:26	4623/4623	---M--	200	added ('OK')	image/png	etag:%2255f1736b-120f%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_dingdingyouhui.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_dingdingyouhui.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:26	6161/6161	---M--	200	added ('OK')	image/png	etag:%2255f1736b-1811%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/forma-1.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/forma-1.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:26	3954/3954	---M--	200	added ('OK')	image/png	etag:%2255f1736f-f72%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_gongjiao.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_gongjiao.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:27	4111/4111	---M--	200	added ('OK')	image/png	etag:%2255f1736b-100f%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_jipiaoyuding.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_jipiaoyuding.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
22:22:27	3550/3550	---M--	200	added ('OK')	image/png	etag:%2255f1736e-dde%22	http://www.jfpal.cn/tpl/simplebootx/Public/images/icon_gerenhuankuan.png	E:/workspace/website/jifubao/www.jfpal.cn/tpl/simplebootx/Public/images/icon_gerenhuankuan.png	(from http://nowpay.github.io/now_pay/index.php?r=page/show&name=bmservice)
